,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
89,90.,2017,Brazil,GuiFera,Guilherme Fonseca,"$206,000.00","$237,251.21","Guilherme ""GuiFera"" Fonseca - Sports Video Game Player",5
90,91.,2017,United States,Punk,Victor Woodley,"$205,451.00","$353,510.24","Victor ""Punk"" Woodley - Fighting Game Player",90
91,92.,2017,United States,Dragon,Ryan Walker,"$203,954.73","$275,769.97","Ryan ""Dragon"" Walker - Fighting Game Player",33
92,93.,2017,Brazil,boltz,Ricardo Prass,"$193,361.11","$393,250.08","Ricardo ""boltz"" Prass - CS:GO Player",130
93,94.,2017,"Korea, Republic of",soO,"Eu, Yoon Su","$191,924.90","$626,054.86","Eu ""soO"" Yoon Su - StarCraft II Player",167
94,95.,2017,Germany,FATA,Adrian Trinks,"$187,088.00","$1,370,688.82","Adrian ""FATA"" Trinks - Dota 2 Player",115
95,96.,2017,United States,SonicFox,Dominique Mclean,"$184,820.53","$700,478.72","Dominique ""SonicFox"" Mclean - Fighting Game Player",128
96,97.,2017,Belarus,Clawz,Nikita Marchinsky,"$183,500.00","$297,168.82","Nikita ""Clawz"" Marchinsky - Diabotical Player",44
97,98.,2017,Philippines,Ryo,Ryo Hasegawa,"$178,500.00","$254,448.28","Ryo ""Ryo"" Hasegawa - Dota 2 Player",26
98,99.,2017,Poland,neo,Filip Kubski,"$178,364.88","$758,451.03","Filip ""neo"" Kubski - CS:GO Player",234
99,100.,2017,Poland,TaZ,Wiktor Wojtas,"$178,364.88","$741,621.40","Wiktor ""TaZ"" Wojtas - CS:GO Player",246
0,1.,2018,Finland,JerAx,Jesse Vainikka,"$2,290,631.60","$6,470,548.78","Jesse ""JerAx"" Vainikka - VALORANT Player",65
1,2.,2018,Denmark,N0tail,Johan Sundstein,"$2,282,716.63","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
2,3.,2018,France,Ceb,Sébastien Debs,"$2,280,216.63","$5,773,812.41","Sébastien ""Ceb"" Debs - Dota 2 Player",64
3,4.,2018,Finland,Topson,Topias Taavitsainen,"$2,249,841.60","$5,690,417.57","Topias ""Topson"" Taavitsainen - Dota 2 Player",32
4,5.,2018,Australia,ana,Anathan Pham,"$2,249,136.18","$6,004,411.96","Anathan ""ana"" Pham - Dota 2 Player",25
5,6.,2018,China,Ame,"Wang, Chunyu","$1,091,935.92","$3,406,591.07","Wang ""Ame"" Chunyu - Dota 2 Player",56
6,7.,2018,China,Somnus丶M,Lu Yao,"$1,091,935.92","$3,132,764.18","Lu ""Somnus丶M"" Yao - Dota 2 Player",77
7,8.,2018,China,fy,"Xu, Linsen","$1,091,935.92","$3,042,472.38","Xu ""fy"" Linsen - Dota 2 Player",97
8,9.,2018,Malaysia,xNova,"Yap, Jianwei","$1,091,935.92","$1,893,391.78","Yap ""xNova"" Jianwei - Dota 2 Player",45
9,10.,2018,China,Chalice,"Yang, Shenyi","$1,091,935.92","$1,859,748.68","Yang ""Chalice"" Shenyi - Dota 2 Player",40
10,11.,2018,Japan,feg,- -,"$1,000,000.00","$1,003,000.00","- ""feg"" - - Shadowverse Player",2
11,12.,2018,Russian Federation,RAMZES666,Roman Kushnarev,"$843,291.60","$1,793,796.92","Roman ""RAMZES666"" Kushnarev - Dota 2 Player",82
12,13.,2018,Russian Federation,Solo,Alexei Berezin,"$843,291.60","$1,783,725.61","Alexei ""Solo"" Berezin - Dota 2 Player",95
13,14.,2018,Russian Federation,9pasha,Pavel Khvastunov,"$843,291.60","$1,717,779.57","Pavel ""9pasha"" Khvastunov - Dota 2 Player",74
14,15.,2018,Russian Federation,RodjER,Vladimir Nikogosyan,"$840,891.60","$1,348,741.13","Vladimir ""RodjER"" Nikogosyan - Dota 2 Player",59
15,16.,2018,Denmark,dev1ce,Nicolai Reedtz,"$730,650.00","$1,916,054.30","Nicolai ""dev1ce"" Reedtz - CS:GO Player",158
16,17.,2018,Denmark,Xyp9x,Andreas Højsleth,"$730,550.00","$1,920,150.13","Andreas ""Xyp9x"" Højsleth - CS:GO Player",173
17,18.,2018,Denmark,dupreeh,Peter Rasmussen,"$730,150.00","$1,937,581.07","Peter ""dupreeh"" Rasmussen - CS:GO Player",163
18,19.,2018,Denmark,gla1ve,Lukas Rossander,"$730,150.00","$1,775,567.40","Lukas ""gla1ve"" Rossander - CS:GO Player",145
19,20.,2018,Denmark,Magisk,Emil Reif,"$728,400.00","$1,531,040.30","Emil ""Magisk"" Reif - CS:GO Player",106
20,21.,2018,Ukraine,Noone,Vladimir Minenko,"$683,291.60","$1,627,223.45","Vladimir ""Noone"" Minenko - Dota 2 Player",83
21,22.,2018,Bulgaria,MinD_ContRoL,Ivan Ivanov,"$662,150.40","$4,599,516.16","Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player",79
22,23.,2018,Canada,Arteezy,Artour Babaev,"$652,575.80","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
23,24.,2018,Denmark,Cr1t,Andreas Nielsen,"$648,575.80","$2,219,521.60","Andreas ""Cr1t"" Nielsen - Dota 2 Player",80
24,25.,2018,Germany,KuroKy,Kuro Takhasomi,"$647,150.40","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
25,26.,2018,Lebanon,GH,Maroun Merhej,"$646,586.06","$4,213,810.69","Maroun ""GH"" Merhej - Dota 2 Player",58
26,27.,2018,Pakistan,SumaiL,Sumail Hassan,"$646,175.80","$3,818,084.01","Sumail ""SumaiL"" Hassan - Dota 2 Player",74
27,28.,2018,Finland,Matumbaman,Lasse Urpalainen,"$646,150.40","$4,507,889.04","Lasse ""Matumbaman"" Urpalainen - Dota 2 Player",80
28,29.,2018,Jordan,Miracle-,Amer Al-Barkawi,"$640,150.40","$4,818,441.68","Amer ""Miracle-"" Al-Barkawi - Dota 2 Player",70
29,30.,2018,Israel,Fly,Tal Aizik,"$618,375.80","$2,610,250.81","Tal ""Fly"" Aizik - Dota 2 Player",123
30,31.,2018,Sweden,s4,Gustav Magnusson,"$605,375.80","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
31,32.,2018,United States,Tfue,Turner Tenney,"$478,800.00","$659,300.01","Turner ""Tfue"" Tenney - Call of Duty Player",69
32,33.,2018,Finland,Serral,Joona Sotala,"$478,538.25","$955,138.55","Joona ""Serral"" Sotala - StarCraft II Player",135
33,34.,2018,"Korea, Republic of",Duke,"Lee, Ho Seong","$445,930.37","$954,620.62","Lee ""Duke"" Ho Seong - League of Legends Player",27
34,35.,2018,China,JackeyLove,"Yu, Wen Bo","$445,930.37","$691,449.64","Yu ""JackeyLove"" Wen Bo - League of Legends Player",17
35,36.,2018,"Korea, Republic of",Rookie,"Song, Eui Jin","$445,930.37","$610,445.70","Song ""Rookie"" Eui Jin - League of Legends Player",28
36,37.,2018,China,Ning,"Gao, Zhen Ning","$445,930.37","$566,607.87","Gao ""Ning"" Zhen Ning - League of Legends Player",19
37,38.,2018,China,Baolan,"Wang, Liu Yi","$445,930.37","$548,235.82","Wang ""Baolan"" Liu Yi - League of Legends Player",15
38,39.,2018,"Korea, Republic of",TheShy,"Kang, Dong Geun","$433,768.37","$538,444.86","Kang ""TheShy"" Dong Geun - League of Legends Player",15
39,40.,2018,Estonia,Puppey,Clement Ivanov,"$423,352.27","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
40,41.,2018,Malaysia,MidOne,"Zheng, Yeik Nai","$423,052.27","$1,797,918.14","Zheng ""MidOne"" Yeik Nai - Dota 2 Player",65
41,42.,2018,Jordan,YapzOr,Yazied Jaradat,"$419,356.27","$2,276,218.67","Yazied ""YapzOr"" Jaradat - Dota 2 Player",62
42,43.,2018,United States,Cloakzy,Dennis Lepore,"$417,025.00","$456,816.66","Dennis ""Cloakzy"" Lepore - Call of Duty Player",48
43,44.,2018,United States,Bizzle,Timothy Miller,"$379,275.00","$635,226.39","Timothy ""Bizzle"" Miller - Fortnite Player",58
44,45.,2018,"Korea, Republic of",Maru,"Cho, Sung Choo","$370,117.05","$958,422.12","Cho ""Maru"" Sung Choo - StarCraft II Player",136
45,46.,2018,Germany,FATA,Adrian Trinks,"$366,456.27","$1,370,688.82","Adrian ""FATA"" Trinks - Dota 2 Player",115
46,47.,2018,Denmark,Ace,Marcus Hoelgaard,"$366,456.27","$754,500.84","Marcus ""Ace"" Hoelgaard - Dota 2 Player",84
47,48.,2018,United States,Poach,Jake Brumleve,"$343,850.00","$352,575.00","Jake ""Poach"" Brumleve - VALORANT Player",25
48,49.,2018,United States,Nate Hill,Nate Hill,"$340,825.00","$441,506.61",Nate Hill - Fortnite Player,40
49,50.,2018,Saudi Arabia,MSdossary7,Aldossary Mossad,"$325,065.00","$596,445.63","Aldossary ""MSdossary7"" Mossad - FIFA Player",22
50,51.,2018,Sweden,Zai,Ludwig Wåhlberg,"$308,376.80","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
51,52.,2018,Japan,Gachikun,"Kanamori, Tsunehiro","$284,614.10","$319,721.32","Kanamori ""Gachikun"" Tsunehiro - Fighting Game Player",24
52,53.,2018,Sweden,Lekr0,Jonas Olofsson,"$280,450.00","$476,180.51","Jonas ""Lekr0"" Olofsson - CS:GO Player",114
53,54.,2018,Sweden,JW,Jesper Wecksell,"$277,616.67","$911,060.68","Jesper ""JW"" Wecksell - CS:GO Player",169
54,55.,2018,United States,72hrs,Thomas Mulligan,"$275,825.00","$314,158.33","Thomas ""72hrs"" Mulligan - Fall Guys Player",35
55,56.,2018,Sweden,flusha,Robin Rönnquist,"$274,766.67","$877,868.95","Robin ""flusha"" Rönnquist - CS:GO Player",176
56,57.,2018,United States,Stewie2k,Jakey Yip,"$273,150.00","$1,173,590.00","Jakey ""Stewie2k"" Yip - CS:GO Player",181
57,58.,2018,Sweden,KRiMZ,Freddy Johansson,"$269,916.67","$909,661.90","Freddy ""KRiMZ"" Johansson - CS:GO Player",142
58,59.,2018,"Taiwan, Republic of China",tom60229,"Chen, Wei Lin","$267,800.00","$457,377.87","Chen ""tom60229"" Wei Lin - Hearthstone Player",50
59,60.,2018,Russian Federation,electroNic,Denis Sharipov,"$261,950.00","$1,271,975.33","Denis ""electroNic"" Sharipov - CS:GO Player",87
60,61.,2018,United States,Vivid,Noah Wright,"$261,850.00","$463,441.67","Noah ""Vivid"" Wright - Fortnite Player",48
61,62.,2018,Netherlands,Mitr0,Dmitri Van de Vrie,"$258,264.47","$791,924.81","Dmitri ""Mitr0"" Van de Vrie - Fortnite Player",84
62,63.,2018,Sweden,Golden,Maikil Selim,"$251,916.67","$461,942.48","Maikil ""Golden"" Selim - CS:GO Player",68
63,64.,2018,United States,ppd,Peter Dager,"$251,480.80","$3,029,331.36","Peter ""ppd"" Dager - Dota 2 Player",96
64,65.,2018,United States,tarik,Tarik Celik,"$250,750.00","$792,739.21","Tarik ""tarik"" Celik - CS:GO Player",147
65,66.,2018,United States,Morgausse,Austin Etue,"$244,000.00","$254,424.56","Austin ""Morgausse"" Etue - Fortnite Player",9
66,67.,2018,Israel,33,Neta Shapira,"$237,759.80","$527,000.60","Neta ""33"" Shapira - Dota 2 Player",63
67,68.,2018,Ukraine,s1mple,Alexander Kostylev,"$237,000.00","$1,418,238.65","Alexander ""s1mple"" Kostylev - CS:GO Player",128
68,69.,2018,United States,Chap,Ryan Chaplo,"$235,825.00","$341,666.67","Ryan ""Chap"" Chaplo - Fortnite Player",40
69,70.,2018,United States,Quinn,Quinn Callahan,"$234,880.80","$647,430.80","Quinn ""Quinn"" Callahan - Dota 2 Player",44
70,71.,2018,Russian Federation,flamie,Egor Vasilyev,"$233,600.00","$860,940.83","Egor ""flamie"" Vasilyev - CS:GO Player",127
71,72.,2018,China,Paparazi,"Zhang, Chengjun","$233,171.16","$1,149,505.84","Zhang ""Paparazi"" Chengjun - Dota 2 Player",64
72,73.,2018,Ukraine,Edward,Ioann Sukharev,"$232,000.00","$719,374.82","Ioann ""Edward"" Sukharev - CS:GO Player",212
73,74.,2018,Ukraine,Zeus,Daniil Teslenko,"$231,900.00","$792,585.87","Daniil ""Zeus"" Teslenko - CS:GO Player",204
74,75.,2018,Sweden,Pajkatt,Per Anders Olsson-Lille,"$229,080.80","$334,585.27","Per Anders ""Pajkatt"" Olsson-Lille - Dota 2 Player",65
75,76.,2018,China,Ori,"Zeng, Jiaoyang","$228,471.16","$1,146,410.89","Zeng ""Ori"" Jiaoyang - Dota 2 Player",53
76,77.,2018,Ukraine,Resolut1on,Roman Fominok,"$226,812.80","$1,471,220.75","Roman ""Resolut1on"" Fominok - Dota 2 Player",106
77,78.,2018,Japan,Tokido,"Hajime, Taniguchi","$225,598.00","$533,508.30","Hajime ""Tokido"" Taniguchi - Fighting Game Player",90
78,79.,2018,Netherlands,Thijs,Thijs Molendijk,"$220,600.00","$514,918.66","Thijs ""Thijs"" Molendijk - Hearthstone Player",76
79,80.,2018,"Korea, Republic of",Rogue,"Lee, Byung Ryul","$216,785.36","$950,577.74","Lee ""Rogue"" Byung Ryul - StarCraft II Player",186
80,81.,2018,Switzerland,Kinstaar,Duong Huynh,"$215,007.79","$421,021.68","Duong ""Kinstaar"" Huynh - VALORANT Player",61
81,82.,2018,Canada,Twistzz,Russel Van Dulken,"$211,900.00","$905,676.43","Russel ""Twistzz"" Van Dulken - CS:GO Player",98
82,83.,2018,China,Fenrir,"Lu, Chao","$210,415.08","$1,402,208.92","Lu ""Fenrir"" Chao - Dota 2 Player",76
83,84.,2018,Singapore,iceiceice,"Koh, Daryl Pei Xiang","$208,196.60","$1,769,541.96","Koh ""iceiceice"" Daryl Pei Xiang - Dota 2 Player",101
84,85.,2018,Thailand,Jabz,Anucha Jirawong,"$208,196.60","$685,188.74","Anucha ""Jabz"" Jirawong - Dota 2 Player",63
85,86.,2018,China,eLeVeN,Ren Yangwei,"$207,903.88","$1,527,424.47","Ren ""eLeVeN"" Yangwei - Dota 2 Player",67
86,87.,2018,United States,ninjaboogie,Michael Ross,"$207,872.26","$475,269.22","Michael ""ninjaboogie"" Ross - Dota 2 Player",44
87,88.,2018,United States,MSS,Arif Anwar,"$204,812.80","$699,632.38","Arif ""MSS"" Anwar - Dota 2 Player",76
88,89.,2018,China,xiaohu,"Li, Yuan Hao","$204,744.74","$606,826.91","Li ""xiaohu"" Yuan Hao - League of Legends Player",30
89,90.,2018,"Taiwan, Republic of China",Karsa,"Hung, Hau Hsuan","$204,744.74","$548,127.12","Hung ""Karsa"" Hau Hsuan - League of Legends Player",32
90,91.,2018,China,Ming,"Shi, Sen Ming","$204,744.74","$478,690.83","Shi ""Ming"" Sen Ming - League of Legends Player",22
91,92.,2018,Malaysia,Moon,Kam Boon Seng,"$204,690.45","$502,805.65","Kam Boon ""Moon"" Seng - Dota 2 Player",53
92,93.,2018,United States,nitr0,Nick Cannella,"$204,600.00","$964,191.73","Nick ""nitr0"" Cannella - VALORANT Player",133
93,94.,2018,China,LaNm,"Zhang, Zhicheng","$204,560.12","$1,519,764.73","Zhang ""LaNm"" Zhicheng - Dota 2 Player",79
94,95.,2018,United States,SVG,Avery Silverman,"$204,312.80","$494,852.80","Avery ""SVG"" Silverman - Dota 2 Player",48
95,96.,2018,United States,ELiGE,Jonathan Jablonowski,"$203,900.00","$1,017,546.42","Jonathan ""ELiGE"" Jablonowski - CS:GO Player",132
96,97.,2018,Denmark,Caps,Rasmus Winther,"$203,296.88","$470,104.57","Rasmus ""Caps"" Winther - League of Legends Player",30
97,98.,2018,France,sOAZ,Paul Boyer,"$203,296.88","$422,314.88","Paul ""sOAZ"" Boyer - League of Legends Player",77
98,99.,2018,Bulgaria,Hylissang,Zdravec Gulubov,"$203,296.88","$350,660.29","Zdravec ""Hylissang"" Gulubov - League of Legends Player",43
99,100.,2018,Denmark,Broxah,Mads Brock-Pedersen,"$203,296.88","$313,654.08","Mads ""Broxah"" Brock-Pedersen - League of Legends Player",21
0,1.,2019,Finland,JerAx,Jesse Vainikka,"$3,163,536.20","$6,470,548.78","Jesse ""JerAx"" Vainikka - VALORANT Player",65
1,2.,2019,France,Ceb,Sébastien Debs,"$3,163,536.20","$5,773,812.41","Sébastien ""Ceb"" Debs - Dota 2 Player",64
2,3.,2019,Finland,Topson,Topias Taavitsainen,"$3,163,536.20","$5,690,417.57","Topias ""Topson"" Taavitsainen - Dota 2 Player",32
3,4.,2019,Denmark,N0tail,Johan Sundstein,"$3,155,536.20","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
4,5.,2019,Australia,ana,Anathan Pham,"$3,146,536.20","$6,004,411.96","Anathan ""ana"" Pham - Dota 2 Player",25
5,6.,2019,United States,Bugha,Kyle Giersdorf,"$3,066,641.67","$3,175,211.72","Kyle ""Bugha"" Giersdorf - Fortnite Player",49
6,7.,2019,United States,psalm,Harrison Chang,"$1,822,700.00","$1,958,450.00","Harrison ""psalm"" Chang - VALORANT Player",59
7,8.,2019,Austria,Aqua,David Wang,"$1,822,570.21","$1,932,524.23","David ""Aqua"" Wang - Fortnite Player",54
8,9.,2019,Norway,Nyhrox,Emil Bergquist Pedersen,"$1,518,236.19","$1,537,945.69","Emil ""Nyhrox"" Bergquist Pedersen - Fortnite Player",28
9,10.,2019,United States,EpikWhale,Shane Cotton,"$1,310,666.67","$1,354,667.32","Shane ""EpikWhale"" Cotton - Fortnite Player",42
10,11.,2019,United Kingdom,Wolfiez,Jaden Ashman,"$1,184,426.67","$1,344,978.07","Jaden ""Wolfiez"" Ashman - Fortnite Player",38
11,12.,2019,Netherlands,Rojo,Dave Jong,"$1,179,143.33","$1,214,643.33","Dave ""Rojo"" Jong - Fortnite Player",23
12,13.,2019,Hong Kong,Kreo,Nate Kou,"$1,082,425.00","$1,221,159.74","Nate ""Kreo"" Kou - Fortnite Player",40
13,14.,2019,United States,Ceice,Davis McClellan,"$1,012,225.00","$1,117,155.47","Davis ""Ceice"" McClellan - Fortnite Player",48
14,15.,2019,Argentina,k1nG,Thiago Lapp,"$1,007,550.00","$1,021,150.00","Thiago ""k1nG"" Lapp - Fortnite Player",25
15,16.,2019,"Taiwan, Republic of China",sasamumu,- -,"$1,000,000.00","$1,000,000.00","- ""sasamumu"" - - Shadowverse Player",1
16,17.,2019,Germany,KuroKy,Kuro Takhasomi,"$999,081.60","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
17,18.,2019,Bulgaria,MinD_ContRoL,Ivan Ivanov,"$999,081.60","$4,599,516.16","Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player",79
18,19.,2019,Lebanon,GH,Maroun Merhej,"$999,081.60","$4,213,810.69","Maroun ""GH"" Merhej - Dota 2 Player",58
19,20.,2019,Jordan,Miracle-,Amer Al-Barkawi,"$991,081.60","$4,818,441.68","Amer ""Miracle-"" Al-Barkawi - Dota 2 Player",70
20,21.,2019,Canada,Zayt,Williams Aubin,"$962,550.00","$1,327,731.42","Williams ""Zayt"" Aubin - VALORANT Player",65
21,22.,2019,United States,Elevate,Hayden Krueger,"$959,025.00","$993,523.20","Hayden ""Elevate"" Krueger - VALORANT Player",31
22,23.,2019,United States,Saf,Rocco Morales,"$954,225.00","$1,166,312.02","Rocco ""Saf"" Morales - Fortnite Player",64
23,24.,2019,Romania,w33,Aliwi Omar,"$936,081.60","$2,284,523.58","Aliwi ""w33"" Omar - Dota 2 Player",63
24,25.,2019,France,Skite,Clément Danglot,"$732,118.28","$858,064.02","Clément ""Skite"" Danglot - Fortnite Player",46
25,26.,2019,Sweden,Crue,Theo Ferrer,"$712,500.00","$718,750.00","Theo ""Crue"" Ferrer - Fortnite Player",40
26,27.,2019,China,Ame,"Wang, Chunyu","$681,941.20","$3,406,591.07","Wang ""Ame"" Chunyu - Dota 2 Player",56
27,28.,2019,China,fy,"Xu, Linsen","$681,941.20","$3,042,472.38","Xu ""fy"" Linsen - Dota 2 Player",97
28,29.,2019,Malaysia,xNova,"Yap, Jianwei","$681,941.20","$1,893,391.78","Yap ""xNova"" Jianwei - Dota 2 Player",45
29,30.,2019,China,Chalice,"Yang, Shenyi","$681,941.20","$1,859,748.68","Yang ""Chalice"" Shenyi - Dota 2 Player",40
30,31.,2019,China,Somnus丶M,Lu Yao,"$669,941.20","$3,132,764.18","Lu ""Somnus丶M"" Yao - Dota 2 Player",77
31,32.,2019,Estonia,Puppey,Clement Ivanov,"$626,760.80","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
32,33.,2019,Sweden,Zai,Ludwig Wåhlberg,"$624,960.80","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
33,34.,2019,Malaysia,MidOne,"Zheng, Yeik Nai","$624,960.80","$1,797,918.14","Zheng ""MidOne"" Yeik Nai - Dota 2 Player",65
34,35.,2019,Poland,Nisha,Michał Jankowski,"$624,960.80","$1,676,373.71","Michał ""Nisha"" Jankowski - Dota 2 Player",58
35,36.,2019,Jordan,YapzOr,Yazied Jaradat,"$620,960.80","$2,276,218.67","Yazied ""YapzOr"" Jaradat - Dota 2 Player",62
36,37.,2019,United Kingdom,Mongraal,Kyle Jackson,"$604,975.70","$688,004.23","Kyle ""Mongraal"" Jackson - Fortnite Player",68
37,38.,2019,"Korea, Republic of",Pio,"Cha, Seung Hoon","$586,003.41","$831,741.66","Cha ""Pio"" Seung Hoon - PUBG Player",32
38,39.,2019,"Korea, Republic of",Loki,"Bak, Jeong Yeong","$575,353.31","$914,093.93","Bak ""Loki"" Jeong Yeong - PUBG Player",32
39,40.,2019,"Korea, Republic of",ESTH3R,"Go, Jeong","$552,176.28","$832,050.41","Go ""ESTH3R"" Jeong - PUBG Player",27
40,41.,2019,"Korea, Republic of",Taemin,"Kang, Tae Min","$552,176.28","$585,598.46","Kang ""Taemin"" Tae Min - PUBG Player",15
41,42.,2019,United States,Arkhram,Diego Lima,"$545,300.00","$611,316.68","Diego ""Arkhram"" Lima - Fortnite Player",38
42,43.,2019,China,Paparazi,"Zhang, Chengjun","$506,933.50","$1,149,505.84","Zhang ""Paparazi"" Chengjun - Dota 2 Player",64
43,44.,2019,China,Ori,"Zeng, Jiaoyang","$506,933.50","$1,146,410.89","Zeng ""Ori"" Jiaoyang - Dota 2 Player",53
44,45.,2019,China,Yang,"Zhou, Haiyang","$506,933.50","$969,743.72","Zhou ""Yang"" Haiyang - Dota 2 Player",62
45,46.,2019,China,Dy,"Ding, Cong","$506,933.50","$910,636.51","Ding ""Dy"" Cong - Dota 2 Player",39
46,47.,2019,United States,Stewie2k,Jakey Yip,"$482,700.00","$1,173,590.00","Jakey ""Stewie2k"" Yip - CS:GO Player",181
47,48.,2019,United States,Falconer,Brendan Falconer,"$478,200.00","$483,100.00","Brendan ""Falconer"" Falconer - Fortnite Player",22
48,49.,2019,Canada,NAF,Keith Markovic,"$477,850.00","$1,067,765.66","Keith ""NAF"" Markovic - CS:GO Player",128
49,50.,2019,United States,ELiGE,Jonathan Jablonowski,"$477,850.00","$1,017,546.42","Jonathan ""ELiGE"" Jablonowski - CS:GO Player",132
50,51.,2019,United States,nitr0,Nick Cannella,"$477,850.00","$964,191.73","Nick ""nitr0"" Cannella - VALORANT Player",133
51,52.,2019,Canada,Twistzz,Russel Van Dulken,"$477,850.00","$905,676.43","Russel ""Twistzz"" Van Dulken - CS:GO Player",98
52,53.,2019,Austria,stompy,Klaus Konstanzer,"$462,687.94","$507,121.94","Klaus ""stompy"" Konstanzer - Fortnite Player",41
53,54.,2019,Netherlands,Mitr0,Dmitri Van de Vrie,"$459,360.34","$791,924.81","Dmitri ""Mitr0"" Van de Vrie - Fortnite Player",84
54,55.,2019,"Korea, Republic of",Jinsoo,"Park, Jin Soo","$450,254.94","$467,754.94","Park ""Jinsoo"" Jin Soo - Auto Chess Player",4
55,56.,2019,United States,Dubs,Daniel Walsh,"$439,816.67","$483,924.99","Daniel ""Dubs"" Walsh - Fortnite Player",46
56,57.,2019,China,Fade,Pan Yi,"$432,550.60","$647,277.78","Pan ""Fade"" Yi - Dota 2 Player",40
57,58.,2019,France,Nayte,Nathan Berquignol,"$431,920.10","$531,885.77","Nathan ""Nayte"" Berquignol - Fortnite Player",44
58,59.,2019,Denmark,Xyp9x,Andreas Højsleth,"$431,100.00","$1,920,150.13","Andreas ""Xyp9x"" Højsleth - CS:GO Player",173
59,60.,2019,Denmark,dupreeh,Peter Rasmussen,"$430,700.00","$1,937,581.07","Peter ""dupreeh"" Rasmussen - CS:GO Player",163
60,61.,2019,Denmark,gla1ve,Lukas Rossander,"$430,700.00","$1,775,567.40","Lukas ""gla1ve"" Rossander - CS:GO Player",145
61,62.,2019,Denmark,Magisk,Emil Reif,"$430,700.00","$1,531,040.30","Emil ""Magisk"" Reif - CS:GO Player",106
62,63.,2019,Denmark,dev1ce,Nicolai Reedtz,"$427,700.00","$1,916,054.30","Nicolai ""dev1ce"" Reedtz - CS:GO Player",158
63,64.,2019,United Kingdom,BenjyFishy,Benjy David Fish,"$393,136.39","$552,856.29","Benjy David ""BenjyFishy"" Fish - Fortnite Player",87
64,65.,2019,China,HuaHai,"Luo, Siyuan","$380,810.70","$613,749.99","Luo ""HuaHai"" Siyuan - Arena of Valor Player",6
65,66.,2019,China,Wuming,"Zhang, Cong","$380,810.70","$613,749.99","Zhang ""Wuming"" Cong - Arena of Valor Player",6
66,67.,2019,China,Cat,"Chen, Zhengzheng","$380,810.70","$522,169.03","Chen ""Cat"" Zhengzheng - Arena of Valor Player",6
67,68.,2019,China,NuoYan,"Guo, Guixin","$380,810.70","$466,375.37","Guo ""NuoYan"" Guixin - Arena of Valor Player",5
68,69.,2019,China,Alan,"Wang, Tianlong","$380,810.70","$449,232.51","Wang ""Alan"" Tianlong - Arena of Valor Player",5
69,70.,2019,Philippines,Tims,Timothy Randrup,"$366,370.40","$800,007.75","Timothy ""Tims"" Randrup - Dota 2 Player",51
70,71.,2019,Philippines,Armel,Armel Paul Tabios,"$366,370.40","$497,316.51","Armel Paul ""Armel"" Tabios - Dota 2 Player",42
71,72.,2019,Philippines,Gabbi,Khim Villafuerte,"$366,370.40","$458,734.68","Khim ""Gabbi"" Villafuerte - Dota 2 Player",46
72,73.,2019,Canada,Arteezy,Artour Babaev,"$352,310.40","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
73,74.,2019,Denmark,Cr1t,Andreas Nielsen,"$352,310.40","$2,219,521.60","Andreas ""Cr1t"" Nielsen - Dota 2 Player",80
74,75.,2019,Israel,Fly,Tal Aizik,"$351,310.40","$2,610,250.81","Tal ""Fly"" Aizik - Dota 2 Player",123
75,76.,2019,United States,Riversan,River Handley,"$342,025.00","$363,766.67","River ""Riversan"" Handley - Fortnite Player",38
76,77.,2019,Canada,hiimtylerh,Tyler -,"$341,250.00","$341,250.00","Tyler ""hiimtylerh"" - - Fortnite Player",2
77,78.,2019,Belgium,Suezhoo,Stephan -,"$341,250.00","$341,250.00","Stephan ""Suezhoo"" - - Fortnite Player",2
78,79.,2019,Denmark,Zand,- -,"$341,250.00","$341,250.00","- ""Zand"" - - Fortnite Player",2
79,80.,2019,United States,Cizzorz,Jack -,"$336,250.00","$349,750.00","Jack ""Cizzorz"" - - Chess.com Player",6
80,81.,2019,United States,Megga,Noam Ackenine,"$322,416.67","$396,583.32","Noam ""Megga"" Ackenine - Fortnite Player",38
81,82.,2019,Sweden,s4,Gustav Magnusson,"$320,400.40","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
82,83.,2019,United States,ZexRow,Anthony Colandro,"$312,650.00","$509,949.73","Anthony ""ZexRow"" Colandro - Fortnite Player",48
83,84.,2019,United States,Clayster,James Eubanks,"$311,375.00","$1,198,021.68","James ""Clayster"" Eubanks - Call of Duty Player",130
