,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
19,20.,2013,United States,ProblemWright,Eric Wright,"$140,000.00","$397,200.00","Eric ""ProblemWright"" Wright - Call of Duty Player",18
20,21.,2013,"Korea, Republic of",Jaedong,"Lee, Jae Dong","$126,230.11","$643,290.35","Lee ""Jaedong"" Jae Dong - StarCraft: Brood War Player",111
21,22.,2013,United States,Randy Pfohl,Randy Pfohl,"$125,000.00","$125,000.00",Randy Pfohl - Turbo Racing League Player,2
22,23.,2013,"Korea, Republic of",INnoVation,"Lee, Shin Hyung","$118,332.15","$795,908.70","Lee ""INnoVation"" Shin Hyung - StarCraft II Player",269
23,24.,2013,United States,Parasite,Christopher Duarte,"$115,532.62","$263,914.34","Christopher ""Parasite"" Duarte - Call of Duty Player",101
24,25.,2013,Canada,Karma,Damon Barlow,"$115,239.12","$833,962.25","Damon ""Karma"" Barlow - Call of Duty Player",123
25,26.,2013,United States,Killa,Adam Sloss,"$115,001.37","$173,253.94","Adam ""Killa"" Sloss - Call of Duty Player",43
26,27.,2013,United States,MiRx,Marcus Carter,"$114,080.12","$145,330.47","Marcus ""MiRx"" Carter - Call of Duty Player",46
27,28.,2013,"Korea, Republic of",Soulkey,"Kim, Min Chul","$113,797.85","$232,247.50","Kim ""Soulkey"" Min Chul - StarCraft: Brood War Player",91
28,29.,2013,"Korea, Republic of",TaeJa,"Yoon, Young Suh","$107,887.74","$303,704.63","Yoon ""TaeJa"" Young Suh - StarCraft II Player",118
29,30.,2013,Sweden,NaNiwa,Johan Lucchesi,"$84,698.67","$178,843.69","Johan ""NaNiwa"" Lucchesi - StarCraft II Player",80
30,31.,2013,"Korea, Republic of",Life,"Lee, Seung Hyun","$83,909.42","$476,629.17","Lee ""Life"" Seung Hyun - WarCraft III Player",77
31,32.,2013,"Korea, Republic of",Bomber,"Choi, Ji Sung","$83,832.62","$267,297.83","Choi ""Bomber"" Ji Sung - StarCraft II Player",90
32,33.,2013,United States,Pistola,Justin Deese,"$81,525.00","$385,510.00","Justin ""Pistola"" Deese - Halo Player",70
33,34.,2013,"Korea, Republic of",Polt,"Choi, Sung Hoon","$81,519.56","$451,943.24","Choi ""Polt"" Sung Hoon - StarCraft II Player",139
34,35.,2013,"Korea, Republic of",Dear,"Baek, Dong Jun","$81,067.43","$243,588.19","Baek ""Dear"" Dong Jun - StarCraft II Player",98
35,36.,2013,United States,Jeff Derrenberger,Jeff Derrenberger,"$80,000.00","$80,000.00",Jeff Derrenberger - Turbo Racing League Player,3
36,37.,2013,Malaysia,Mushi,"Chai, Yee Fung","$71,478.14","$1,026,918.67","Chai ""Mushi"" Yee Fung - Dota 2 Player",90
37,38.,2013,United States,LarryDavid,Julian Fusco,"$70,000.00","$70,000.00","Julian ""LarryDavid"" Fusco - Sports Video Game Player",1
38,39.,2013,"Korea, Republic of",Maru,"Cho, Sung Choo","$68,957.71","$958,422.12","Cho ""Maru"" Sung Choo - StarCraft II Player",136
39,40.,2013,"Korea, Republic of",MC,"Jang, Min Chul","$67,460.57","$509,852.06","Jang ""MC"" Min Chul - StarCraft II Player",117
40,41.,2013,"Korea, Republic of",MMA,"Moon, Sung Won","$66,118.33","$407,169.17","Moon ""MMA"" Sung Won - StarCraft II Player",111
41,42.,2013,Malaysia,Ohaiyo,"Chong, Xin Khoo","$65,609.10","$583,976.52","Chong ""Ohaiyo"" Xin Khoo - Dota 2 Player",66
42,43.,2013,Malaysia,Net,Pern Lim Wai,"$65,609.10","$157,425.35","Pern Lim ""Net"" Wai - Dota 2 Player",54
43,44.,2013,Malaysia,Ky`xY,"Lee, Kong Yang","$65,609.10","$140,419.87","Lee ""Ky`xY"" Kong Yang - Dota 2 Player",60
44,45.,2013,Malaysia,Xtinct,Joel Chan Zhan Leong,"$65,609.10","$94,185.14","Joel ""Xtinct"" Chan Zhan Leong - Dota 2 Player",36
45,46.,2013,"Korea, Republic of",RorO,"Shin, No Yeol","$63,070.11","$79,910.06","Shin ""RorO"" No Yeol - StarCraft II Player",24
46,47.,2013,China,Hao,"Chen, Zhihao","$61,937.68","$1,761,646.83","Chen ""Hao"" Zhihao - Dota 2 Player",59
